序号,名称,面积（公顷）
1,西山国家森林公园  ,5933.00 
2,上方山国家森林公园,353.00 
3,蟒山国家森林公园 ,8582.00 
4,云蒙山国家森林公园 ,2208.00 
5,小龙门国家森林公园 ,1595.00 
6,鹫峰国家森林公园 ,775.00 
7,大兴古桑国家森林公园 ,1165.00 
8,大杨山国家森林公园 ,2107.00 
9,八达岭国家森林公园 ,2940.00 
10,霞云岭国家森林公园,21487.00 
11,北宫国家森林公园 ,914.00 
12,黄松峪国家森林公园 ,4274.00 
13,天门山国家森林公园,669.00 
14,琦峰山国家森林公园,4290.00 
15,喇叭沟门国家森林公园,11171.50 
16,森鑫森林公园（顺鑫绿色度假村） ,981.00 
17,五座楼森林公园,1367.00 
18,龙山森林公园,141.00 
19,马栏森林公园 ,281.00 
20,白虎涧森林公园,933.00 
21,丫吉山森林公园 ,1144.00 
22,西峰寺森林公园,381.00 
23,南石洋大峡谷森林公园 ,2123.80 
24,妙峰山森林公园 ,2264.70 
25,双龙峡东山森林公园,790.00 
26,银河谷森林公园 ,8446.24 
27,莲花山森林公园 ,2210.00 
28,静之湖森林公园 ,351.20 
29,二帝山森林公园 ,408.70 
30,龙门店森林公园 ,5380.23 
31,古北口森林公园 ,933.30 
